filename,video-duration,fps,video-frames
d55oU0cqBvA_000001_000011.mp4,10.0,30.0,300
ixq4SXIyBQ0_000023_000033.mp4,10.01,29.97002997002997,300
AXEIBzf677E_000001_000011.mp4,5.533333333333333,30.0,166
obZYLppfy5U_000019_000029.mp4,6.466666666666667,30.0,194
xVB-gm0onLA_000010_000020.mp4,10.01,29.97002997002997,300
s8Df36Qn5Ms_000032_000042.mp4,10.01,29.97002997002997,300
lPQljZzWcHs_000280_000290.mp4,10.01,29.97002997002997,300
MwkzlPnD1xM_000109_000119.mp4,10.0,15.0,150
YvS4LbK9LEc_000089_000099.mp4,10.01,29.97002997002997,300
Fgj1uNersUg_000189_000199.mp4,7.933333333333334,30.0,238
2fIm0Uepuy4_000020_000030.mp4,10.0,25.0,250
1k0kjGrm7Dc_000002_000012.mp4,6.533333333333333,30.0,196
gFhmt2ajhrg_000036_000046.mp4,8.241566666666667,29.97002997002997,247
EvglXU1RxQM_000001_000011.mp4,4.0040000000000004,29.97002997002997,120
xRdWgVIMyZs_000003_000013.mp4,10.0,25.0,250
DyCY-3ednP4_000058_000068.mp4,10.0,15.0,150
IWh-o-CJqa8_000130_000140.mp4,10.0,30.0,300
faja44LoDiM_000003_000013.mp4,8.041366666666667,29.97002997002997,241
YtGvQSCto-Y_000022_000032.mp4,10.0,30.0,300
NNlXT64FyCY_000002_000012.mp4,10.01,29.97002997002997,300
P2B-7kWUKZw_000128_000138.mp4,10.0,29.0,290
LXlwVmSAVZg_000017_000027.mp4,10.01001001001001,14.985,150
rmk881vLQ-A_000013_000023.mp4,10.027855153203342,29.916666666666668,300
wzeQKu224zk_000004_000014.mp4,8.233333333333333,30.0,247
Odr5gnuRYgU_000015_000025.mp4,10.0,7.0,70
whn8Wh9dMKc_000060_000070.mp4,10.01,29.97002997002997,300
G69PNvm24jo_000023_000033.mp4,8.847184986595174,29.84,264
MWeNQCRTurA_000069_000079.mp4,9.6096,29.97002997002997,288
dwBXEjNfDb4_000106_000116.mp4,10.0,25.0,250
3sC11ezEuZA_000020_000030.mp4,10.01,29.97002997002997,300
pgfnqXVc7Ss_000756_000766.mp4,10.01,29.97002997002997,300
EHbAy9y7hRE_000011_000021.mp4,8.96,25.0,224
rYvRX04d908_000247_000257.mp4,10.0,30.0,300
ngIF5wp65e4_000507_000517.mp4,10.0,25.0,250
